"METRIC","KW_stat","KW_pval","BoxScore"
"gregTol_TL01PIND",0.63,0.4257,0
"gregTol_TL01PTAX",0.63,0.4257,0
"gregTol_TL23NTAX",57.53,0,0
"gregTol_TL23PIND",57.03,0,0
"gregTol_TL23PTAX",56.24,0,0
"gregTol_TL45NTAX",151.74,0,3
"gregTol_TL45PIND",76.35,0,2
"gregTol_TL45PTAX",117.63,0,3
"gregTol_TL67NTAX",75.88,0,2
"gregTol_TL67PIND",12.64,4e-04,1
"gregTol_TL67PTAX",5.01,0.0253,0
"gregTol_TOLRNTAX",0.53,0.4678,0
"gregTol_TOLRPIND",26.92,0,1
"gregTol_TOLRPTAX",123.26,0,3
"gregTol_WTD_TV",105.42,0,3
"Genus.HBI",115.22,0,3
"BCGatt2.3",137.81,0,3
"X.BCGatt2.3",125.14,0,3
"BCGatt5",25.21,0,0
"X.BCGatt5",141.71,0,3
"X.BCG_DO_att2.3",86.85,0,2
"X.BCG_DO_att5",96.43,0,3
"X.BCG_Acidity_att2.3",41.6,0,2
"X.BCG_Acidity_att5",6.31,0.012,0
"X.BCG_Alkalinity_att2.3",9.45,0.0021,0
"X.BCG_Alkalinity_att5",66.92,0,1
"X.BCG_spCond_att2.3",152.02,0,3
"X.BCG_spCond_att5",65.52,0,2
"X.BCG_Chloride_att2.3",155.85,0,3
"X.BCG_Chloride_att5",24.22,0,1
"X.BCG_Sulfate_att2.3",2.63,0.105,0
"X.BCG_Sulfate_att5",10.61,0.0011,1
"X.BCG_TNTP_att2.3",71.9,0,1
"X.BCG_TNTP_att5",123.67,0,3
"X.BCG_totHab_att2.3",101.74,0,3
"X.BCG_totHab_att5",116.96,0,3
"X.BCG_RBS_att2.3",34.55,0,0
"X.BCG_RBS_att5",97.83,0,3
"X.BCG_pctIMP_att2.3",135.2,0,3
"X.BCG_pctIMP_att5",97.51,0,3
"gregTol_Genus.HBI",114.41,0,3
"gregTol_BCGatt2.3",137.81,0,3
"gregTol_.BCGatt2.3",125.14,0,3
"gregTol_BCGatt5",25.21,0,0
"gregTol_.BCGatt5",141.71,0,3
"gregTol_.BCG_DO_att2.3",86.85,0,2
"gregTol_.BCG_DO_att5",96.43,0,3
"gregTol_.BCG_Acidity_att2.3",41.6,0,2
"gregTol_.BCG_Acidity_att5",6.31,0.012,0
"gregTol_.BCG_Alkalinity_att2.3",9.45,0.0021,0
"gregTol_.BCG_Alkalinity_att5",66.92,0,1
"gregTol_.BCG_spCond_att2.3",152.02,0,3
"gregTol_.BCG_spCond_att5",65.52,0,2
"gregTol_.BCG_Chloride_att2.3",155.85,0,3
"gregTol_.BCG_Chloride_att5",24.22,0,1
"gregTol_.BCG_Sulfate_att2.3",2.63,0.105,0
"gregTol_.BCG_Sulfate_att5",10.61,0.0011,1
"gregTol_.BCG_TNTP_att2.3",71.9,0,1
"gregTol_.BCG_TNTP_att5",123.67,0,3
"gregTol_.BCG_totHab_att2.3",101.74,0,3
"gregTol_.BCG_totHab_att5",116.96,0,3
"gregTol_.BCG_RBS_att2.3",34.55,0,0
"gregTol_.BCG_RBS_att5",97.83,0,3
"gregTol_.BCG_pctIMP_att2.3",135.2,0,3
"gregTol_.BCG_pctIMP_att5",97.51,0,3
"HPRIME",98.01,0,3
"DOM1PIND",44.18,0,1
"DOM3PIND",88.47,0,3
"DOM5PIND",107.89,0,3
"CHIRDOM1PIND",0.63,0.4257,0
"CHIRDOM3PIND",0.63,0.4257,0
"CHIRDOM5PIND",0.63,0.4257,0
"Genus..2.Dominant",67.49,0,2
"gregTol_Genus..2.Dominant",67.49,0,2
"BURRNTAX",6.43,0.0112,0
"BURRPIND",3.43,0.064,0
"BURRPTAX",0.77,0.3809,0
"CLMBNTAX",21.51,0,0
"CLMBPIND",6.85,0.0088,0
"CLMBPTAX",0.22,0.6386,0
"CLNGNTAX",134.59,0,3
"CLNGPIND",107.89,0,3
"CLNGPTAX",88.35,0,3
"SPWLNTAX",18.05,0,0
"SPWLPIND",4.22,0.04,0
"SPWLPTAX",8.22,0.0042,0
"SWIMNTAX",53.65,0,0
"SWIMPIND",0.25,0.6137,0
"SWIMPTAX",2.52,0.1123,0
"X.Clinger.HS",107,0,3
"gregTol_.Clinger.HS",107,0,3
"COFINTAX",56.88,0,0
"COFIPIND",7.19,0.0074,0
"COFIPTAX",0.14,0.7092,0
"COFITRICNTAX",50.22,0,1
"COFITRICPIND",31.73,0,2
"COFITRICPTAX",12.46,4e-04,0
"COGANTAX",108.08,0,2
"COGAPIND",2.41,0.1207,0
"COGAPTAX",4.04,0.0444,0
"PREDNTAX",44.23,0,1
"PREDPIND",25.5,0,0
"PREDPTAX",0.15,0.6967,0
"SCRPNTAX",38.81,0,1
"SCRPPIND",16.81,0,1
"SCRPPTAX",2.97,0.0846,0
"SHRDNTAX",42.59,0,0
"SHRDPIND",45.9,0,2
"SHRDPTAX",10.64,0.0011,0
"X.Collector",0.56,0.4526,0
"X.GenusScraper",16.8,0,1
"gregTol_.Collector",0.56,0.4526,0
"gregTol_.GenusScraper",16.8,0,1
