"METRIC","REDUND_MET"
"X.PT...Hydropsychidae","TRICPIND,gregTol_.PT...Hydropsychidae"
"X.Chiro","CHIRPIND,DIPTPIND,gregTol_.Chiro"
"X.EPT.H.C","EPHEPIND,EPOTPIND,EPT_PIND,X.Ephem,gregTol_.Ephem,gregTol_.EPT.H.C,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"X.Ephem.B","EPHEPIND,X.Ephem,gregTol_.Ephem,gregTol_.Ephem.B"
"X.EPT45","gregTol_.EPT45,BCGatt2.3,X.BCGatt2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3"
"X.EPT65","EPHEPTAX,EPOTPTAX,EPT_PTAX,gregTol_.EPT65,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,X.BCG_Chloride_att2.3,gregTol_.BCG_Chloride_att2.3"
"gregTol_.Ephem","EPHEPIND,EPOTPIND,EPT_PIND,X.Ephem,X.EPT.H.C,X.Ephem.B,gregTol_.EPT.H.C,gregTol_.Ephem.B"
"gregTol_.PT...Hydropsychidae","TRICPIND,X.PT...Hydropsychidae"
"gregTol_.Chiro","CHIRPIND,DIPTPIND,X.Chiro"
"gregTol_.EPT.H.C","EPHEPIND,EPOTPIND,EPT_PIND,X.Ephem,X.EPT.H.C,gregTol_.Ephem,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"gregTol_.Ephem.B","EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem"
"gregTol_.EPT45","X.EPT45,BCGatt2.3,X.BCGatt2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3"
"gregTol_.EPT65","EPHEPTAX,EPOTPTAX,EPT_PTAX,X.EPT65,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,X.BCG_Chloride_att2.3,gregTol_.BCG_Chloride_att2.3"
"TOTLNTAX","CHIRPTAX,EPOTNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND"
"AMPHNTAX","AMPHPTAX,CRUSNTAX"
"CHIRNTAX","CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND"
"CRUSNTAX","CRUSPTAX,AMPHNTAX"
"DIPTNTAX",""
"EPHENTAX","EPHEPTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"EPOTNTAX","EPOTPTAX,EPT_PTAX,TOTLNTAX,EPHENTAX,EPT_NTAX,TRICNTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"EPT_NTAX","EPOTPTAX,EPT_PTAX,X.EPT.H.C,X.EPT65,gregTol_.EPT.H.C,gregTol_.EPT65,EPHENTAX,EPOTNTAX,TRICNTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"HEMINTAX","HEMIPTAX"
"MITENTAX","MITEPTAX"
"MOLLNTAX","MOLLPTAX,NOINNTAX"
"NOINNTAX","MOLLNTAX"
"ODONNTAX","ODONPTAX"
"OLLENTAX",""
"PLECNTAX","PLECPTAX"
"TRICNTAX","TRICPTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
"Genus.Total.Taxa","CHIRPTAX,TOTLNTAX,EPOTNTAX,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND"
"Genus.EPT.Taxa","EPOTPTAX,EPT_PTAX,X.EPT.H.C,X.EPT65,gregTol_.EPT.H.C,gregTol_.EPT65,EPHENTAX,EPOTNTAX,EPT_NTAX,TRICNTAX,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"Elmid","gregTol_Elmid"
"gregTol_Genus.Total.Taxa","CHIRPTAX,TOTLNTAX,EPOTNTAX,Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME,DOM5PIND"
"gregTol_Genus.EPT.Taxa","EPOTPTAX,EPT_PTAX,X.EPT.H.C,X.EPT65,gregTol_.EPT.H.C,gregTol_.EPT65,EPHENTAX,EPOTNTAX,EPT_NTAX,TRICNTAX,Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"gregTol_Elmid","Elmid"
"FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,DOM5PIND"
"FACLPIND","TOLRPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"FACLPTAX","NTOLPTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX"
"INTLNTAX","INTLPIND,INTLPTAX,gregTol_TL01NTAX,gregTol_TL01PTAX"
"INTLPIND","INTLNTAX,INTLPTAX"
"INTLPTAX","INTLNTAX,INTLPIND"
"NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"NTOLPIND","TL45PIND,gregTol_NTOLPIND,gregTol_TL45PIND"
"NTOLPTAX","FACLPTAX,NTOLNTAX,TL45NTAX,TL45PTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX"
"STOLNTAX","gregTol_STOLNTAX"
"STOLPIND","gregTol_STOLPIND"
"STOLPTAX","gregTol_STOLPTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"TL01NTAX",""
"TL01PIND",""
"TL01PTAX",""
"TL23NTAX","TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL23PIND","gregTol_INTLPIND,gregTol_TL23PIND"
"TL23PTAX","TL23NTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"TL45NTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX"
"TL45PIND","NTOLPIND,gregTol_NTOLPIND,gregTol_TL45PIND"
"TL45PTAX","NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX"
"TL67NTAX","gregTol_TL67NTAX"
"TL67PIND","gregTol_TL67PIND"
"TL67PTAX","gregTol_TL67PTAX"
"TOLRNTAX","gregTol_TOLRNTAX"
"TOLRPIND","FACLPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
"TOLRPTAX","FACLPTAX,gregTol_FACLPTAX,gregTol_TOLRPTAX"
"WTD_TV","gregTol_WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"gregTol_FACLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX"
"gregTol_FACLPIND","FACLPIND,TOLRPIND,gregTol_TOLRPIND"
"gregTol_FACLPTAX","FACLPTAX,TOLRPTAX,gregTol_TOLRPTAX"
"gregTol_INTLNTAX","TL23NTAX,TL23PTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
"gregTol_INTLPIND","TL23PIND,gregTol_TL23PIND"
"gregTol_INTLPTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
"gregTol_NTOLNTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,gregTol_TL45PTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
"gregTol_NTOLPIND","NTOLPIND,TL45PIND,gregTol_TL45PIND"
"gregTol_NTOLPTAX","FACLPTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,gregTol_TL45PTAX"
"gregTol_STOLNTAX","STOLNTAX"
"gregTol_STOLPIND","STOLPIND"
"gregTol_STOLPTAX","STOLPTAX,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"gregTol_TL01NTAX","INTLNTAX,gregTol_TL01PIND,gregTol_TL01PTAX"
"gregTol_TL01PIND","gregTol_TL01NTAX,gregTol_TL01PTAX"
"gregTol_TL01PTAX","INTLNTAX,gregTol_TL01NTAX,gregTol_TL01PIND"
"gregTol_TL23NTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
"gregTol_TL23PIND","TL23PIND,gregTol_INTLPIND"
"gregTol_TL23PTAX","TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_INTLPTAX,gregTol_TL23NTAX"
"gregTol_TL45NTAX","TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45PTAX"
"gregTol_TL45PIND","NTOLPIND,TL45PIND,gregTol_NTOLPIND"
"gregTol_TL45PTAX","NTOLNTAX,NTOLPTAX,TL45NTAX,TL45PTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX"
"gregTol_TL67NTAX","TL67NTAX"
"gregTol_TL67PIND","TL67PIND"
"gregTol_TL67PTAX","TL67PTAX"
"gregTol_TOLRNTAX","TOLRNTAX"
"gregTol_TOLRPIND","FACLPIND,TOLRPIND,gregTol_FACLPIND"
"gregTol_TOLRPTAX","FACLPTAX,TOLRPTAX,gregTol_FACLPTAX"
"gregTol_WTD_TV","WTD_TV,Genus.HBI,gregTol_Genus.HBI"
"Genus.HBI","WTD_TV,gregTol_WTD_TV,gregTol_Genus.HBI"
"BCGatt2.3","X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,gregTol_NTOLNTAX,X.BCGatt2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3"
"X.BCGatt2.3","X.EPT45,gregTol_.EPT45,BCGatt2.3,X.BCG_totHab_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_totHab_att2.3"
"BCGatt5","gregTol_BCGatt5"
"X.BCGatt5","gregTol_.BCGatt5"
"X.BCG_DO_att2.3","X.BCG_totHab_att2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3"
"X.BCG_DO_att5","gregTol_.BCG_DO_att5"
"X.BCG_Acidity_att2.3","gregTol_.BCG_Acidity_att2.3"
"X.BCG_Acidity_att5","gregTol_.BCG_Acidity_att5"
"X.BCG_Alkalinity_att2.3","gregTol_.BCG_Alkalinity_att2.3"
"X.BCG_Alkalinity_att5","gregTol_.BCG_Alkalinity_att5"
"X.BCG_spCond_att2.3","gregTol_.BCG_spCond_att2.3"
"X.BCG_spCond_att5","gregTol_.BCG_spCond_att5"
"X.BCG_Chloride_att2.3","X.EPT65,gregTol_.EPT65,gregTol_.BCG_Chloride_att2.3"
"X.BCG_Chloride_att5","gregTol_.BCG_Chloride_att5"
"X.BCG_Sulfate_att2.3","gregTol_.BCG_Sulfate_att2.3"
"X.BCG_Sulfate_att5","gregTol_.BCG_Sulfate_att5"
"X.BCG_TNTP_att2.3","gregTol_.BCG_TNTP_att2.3"
"X.BCG_TNTP_att5","STOLPTAX,gregTol_STOLPTAX,gregTol_.BCG_TNTP_att5"
"X.BCG_totHab_att2.3","X.BCGatt2.3,X.BCG_DO_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_totHab_att2.3"
"X.BCG_totHab_att5","gregTol_.BCG_totHab_att5"
"X.BCG_RBS_att2.3","gregTol_.BCG_RBS_att2.3"
"X.BCG_RBS_att5","gregTol_.BCG_RBS_att5"
"X.BCG_pctIMP_att2.3","gregTol_.BCG_pctIMP_att2.3"
"X.BCG_pctIMP_att5","gregTol_.BCG_pctIMP_att5"
"gregTol_Genus.HBI","WTD_TV,gregTol_WTD_TV,Genus.HBI"
"gregTol_BCGatt2.3","X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,gregTol_NTOLNTAX,BCGatt2.3,X.BCGatt2.3,gregTol_.BCGatt2.3"
"gregTol_.BCGatt2.3","X.EPT45,gregTol_.EPT45,BCGatt2.3,X.BCGatt2.3,X.BCG_totHab_att2.3,gregTol_BCGatt2.3,gregTol_.BCG_totHab_att2.3"
"gregTol_BCGatt5","BCGatt5"
"gregTol_.BCGatt5","X.BCGatt5"
"gregTol_.BCG_DO_att2.3","X.BCG_DO_att2.3,X.BCG_totHab_att2.3,gregTol_.BCG_totHab_att2.3"
"gregTol_.BCG_DO_att5","X.BCG_DO_att5"
"gregTol_.BCG_Acidity_att2.3","X.BCG_Acidity_att2.3"
"gregTol_.BCG_Acidity_att5","X.BCG_Acidity_att5"
"gregTol_.BCG_Alkalinity_att2.3","X.BCG_Alkalinity_att2.3"
"gregTol_.BCG_Alkalinity_att5","X.BCG_Alkalinity_att5"
"gregTol_.BCG_spCond_att2.3","X.BCG_spCond_att2.3"
"gregTol_.BCG_spCond_att5","X.BCG_spCond_att5"
"gregTol_.BCG_Chloride_att2.3","X.EPT65,gregTol_.EPT65,X.BCG_Chloride_att2.3"
"gregTol_.BCG_Chloride_att5","X.BCG_Chloride_att5"
"gregTol_.BCG_Sulfate_att2.3","X.BCG_Sulfate_att2.3"
"gregTol_.BCG_Sulfate_att5","X.BCG_Sulfate_att5"
"gregTol_.BCG_TNTP_att2.3","X.BCG_TNTP_att2.3"
"gregTol_.BCG_TNTP_att5","STOLPTAX,gregTol_STOLPTAX,X.BCG_TNTP_att5"
"gregTol_.BCG_totHab_att2.3","X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_totHab_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3"
"gregTol_.BCG_totHab_att5","X.BCG_totHab_att5"
"gregTol_.BCG_RBS_att2.3","X.BCG_RBS_att2.3"
"gregTol_.BCG_RBS_att5","X.BCG_RBS_att5"
"gregTol_.BCG_pctIMP_att2.3","X.BCG_pctIMP_att2.3"
"gregTol_.BCG_pctIMP_att5","X.BCG_pctIMP_att5"
"HPRIME","TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM1PIND","HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM3PIND","HPRIME,DOM1PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"DOM5PIND","TOTLNTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
"CHIRDOM1PIND","CHIRNTAX,CHIRDOM3PIND,CHIRDOM5PIND"
"CHIRDOM3PIND","CHIRNTAX,CHIRDOM1PIND,CHIRDOM5PIND"
"CHIRDOM5PIND","CHIRNTAX,CHIRDOM1PIND,CHIRDOM3PIND"
"Genus..2.Dominant","HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,gregTol_Genus..2.Dominant"
"gregTol_Genus..2.Dominant","HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant"
"BURRNTAX","BURRPTAX"
"BURRPIND",""
"BURRPTAX","BURRNTAX"
"CLMBNTAX","CLMBPTAX"
"CLMBPIND",""
"CLMBPTAX","CLMBNTAX"
"CLNGNTAX","EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,gregTol_NTOLNTAX,CLNGPTAX,COFITRICNTAX"
"CLNGPIND","CLNGPTAX,X.Clinger.HS,gregTol_.Clinger.HS"
"CLNGPTAX","CLNGNTAX,CLNGPIND,COFITRICNTAX"
"SPWLNTAX",""
"SPWLPIND",""
"SPWLPTAX",""
"SWIMNTAX",""
"SWIMPIND","AMPHPIND"
"SWIMPTAX",""
"X.Clinger.HS","CLNGPIND,gregTol_.Clinger.HS"
"gregTol_.Clinger.HS","CLNGPIND,X.Clinger.HS"
"COFINTAX","COFITRICNTAX"
"COFIPIND",""
"COFIPTAX",""
"COFITRICNTAX","CLNGNTAX,CLNGPTAX,COFINTAX,COFITRICPTAX"
"COFITRICPIND","TRICPIND"
"COFITRICPTAX","COFITRICNTAX"
"COGANTAX",""
"COGAPIND","CRUSPIND"
"COGAPTAX",""
"PREDNTAX","PREDPTAX"
"PREDPIND",""
"PREDPTAX","PREDNTAX"
"SCRPNTAX",""
"SCRPPIND","X.GenusScraper,gregTol_.GenusScraper"
"SCRPPTAX",""
"SHRDNTAX","SHRDPTAX"
"SHRDPIND",""
"SHRDPTAX","SHRDNTAX"
"X.Collector","gregTol_.Collector"
"X.GenusScraper","SCRPPIND,gregTol_.GenusScraper"
"gregTol_.Collector","X.Collector"
"gregTol_.GenusScraper","SCRPPIND,X.GenusScraper"
