"METRIC","KW_stat","KW_pval","BoxScore"
"gregTol_INTLPIND",10.56,0.0012,0
"gregTol_INTLPTAX",10.56,0.0012,0
"gregTol_NTOLNTAX",82.55,0,3
"gregTol_NTOLPIND",30.73,0,2
"gregTol_NTOLPTAX",64.42,0,3
"gregTol_STOLNTAX",9.28,0.0023,0
"gregTol_STOLPIND",19.8,0,1
"gregTol_STOLPTAX",66.06,0,3
"gregTol_TL01NTAX",NA,NA,0
"gregTol_TL01PIND",NA,NA,0
"gregTol_TL01PTAX",NA,NA,0
"gregTol_TL23NTAX",45.05,0,1
"gregTol_TL23PIND",44.73,0,1
"gregTol_TL23PTAX",43.12,0,1
"gregTol_TL45NTAX",75.9,0,3
"gregTol_TL45PIND",27.73,0,2
"gregTol_TL45PTAX",52.8,0,3
"gregTol_TL67NTAX",29.05,0,1
"gregTol_TL67PIND",7.91,0.0049,1
"gregTol_TL67PTAX",2.45,0.1178,0
"gregTol_TOLRNTAX",1.38,0.24,0
"gregTol_TOLRPIND",16.97,0,1
"gregTol_TOLRPTAX",46,0,2
"gregTol_WTD_TV",50.41,0,3
"Genus HBI",54.91,0,3
"BCGatt2&3",70.14,0,3
"%BCGatt2&3",59.01,0,3
"BCGatt5",13.77,2e-04,0
"%BCGatt5",77.71,0,3
"%BCG_DO_att2&3",35.3,0,2
"%BCG_DO_att5",50.4,0,3
"%BCG_Acidity_att2&3",16.58,0,1
"%BCG_Acidity_att5",4.49,0.0342,0
"%BCG_Alkalinity_att2&3",3.11,0.0778,0
"%BCG_Alkalinity_att5",41.58,0,1
"%BCG_spCond_att2&3",77.74,0,3
"%BCG_spCond_att5",29.22,0,2
"%BCG_Chloride_att2&3",85.9,0,3
"%BCG_Chloride_att5",7.84,0.0051,0
"%BCG_Sulfate_att2&3",0.36,0.5502,0
"%BCG_Sulfate_att5",4.5,0.0339,0
"%BCG_TN.TP_att2&3",23.41,0,1
"%BCG_TN.TP_att5",48,0,3
"%BCG_totHab_att2&3",32.99,0,2
"%BCG_totHab_att5",50.46,0,3
"%BCG_RBS_att2&3",17.18,0,0
"%BCG_RBS_att5",56.36,0,3
"%BCG_pctIMP_att2&3",51.57,0,3
"%BCG_pctIMP_att5",42.27,0,3
"gregTol_Genus HBI",55.57,0,3
"gregTol_BCGatt2&3",70.14,0,3
"gregTol_%BCGatt2&3",59.01,0,3
"gregTol_BCGatt5",13.77,2e-04,0
"gregTol_%BCGatt5",77.71,0,3
"gregTol_%BCG_DO_att2&3",35.3,0,2
"gregTol_%BCG_DO_att5",50.4,0,3
"gregTol_%BCG_Acidity_att2&3",16.58,0,1
"gregTol_%BCG_Acidity_att5",4.49,0.0342,0
"gregTol_%BCG_Alkalinity_att2&3",3.11,0.0778,0
"gregTol_%BCG_Alkalinity_att5",41.58,0,1
"gregTol_%BCG_spCond_att2&3",77.74,0,3
"gregTol_%BCG_spCond_att5",29.22,0,2
"gregTol_%BCG_Chloride_att2&3",85.9,0,3
"gregTol_%BCG_Chloride_att5",7.84,0.0051,0
"gregTol_%BCG_Sulfate_att2&3",0.36,0.5502,0
"gregTol_%BCG_Sulfate_att5",4.5,0.0339,0
"gregTol_%BCG_TN.TP_att2&3",23.41,0,1
"gregTol_%BCG_TN.TP_att5",48,0,3
"gregTol_%BCG_totHab_att2&3",32.99,0,2
"gregTol_%BCG_totHab_att5",50.46,0,3
"gregTol_%BCG_RBS_att2&3",17.18,0,0
"gregTol_%BCG_RBS_att5",56.36,0,3
"gregTol_%BCG_pctIMP_att2&3",51.57,0,3
"gregTol_%BCG_pctIMP_att5",42.27,0,3
"HPRIME",57.57,0,3
"DOM1PIND",23.25,0,2
"DOM3PIND",52.44,0,3
"DOM5PIND",61.67,0,3
"CHIRDOM1PIND",0.69,0.4054,0
"CHIRDOM3PIND",0.69,0.4054,0
"CHIRDOM5PIND",0.69,0.4054,0
"Genus %2 Dominant",39.26,0,2
"gregTol_Genus %2 Dominant",39.26,0,2
"BURRNTAX",10.73,0.0011,0
"BURRPIND",6.84,0.0089,0
"BURRPTAX",0.43,0.5104,0
"CLMBNTAX",17.66,0,0
"CLMBPIND",5.85,0.0155,0
"CLMBPTAX",0.07,0.7855,0
"CLNGNTAX",69.17,0,3
"CLNGPIND",54.8,0,3
"CLNGPTAX",47.46,0,3
"SPWLNTAX",7.27,0.007,0
"SPWLPIND",3.47,0.0624,0
"SPWLPTAX",4.69,0.0303,0
"SWIMNTAX",15.02,1e-04,0
"SWIMPIND",0.23,0.6315,0
"SWIMPTAX",0.09,0.7672,0
"%Clinger-HS",55.85,0,3
"gregTol_%Clinger-HS",55.85,0,3
"COFINTAX",32.48,0,1
"COFIPIND",0,0.9678,0
"COFIPTAX",1.84,0.1749,0
"COFITRICNTAX",27.2,0,2
"COFITRICPIND",17.93,0,2
"COFITRICPTAX",9.07,0.0026,1
"COGANTAX",45.32,0,2
"COGAPIND",0.8,0.3719,0
"COGAPTAX",1.6,0.2053,0
"PREDNTAX",18.41,0,1
"PREDPIND",2.53,0.1116,0
"PREDPTAX",0.01,0.9239,0
"SCRPNTAX",20.57,0,0
"SCRPPIND",16.47,0,2
"SCRPPTAX",0.91,0.34,0
"SHRDNTAX",30.02,0,0
"SHRDPIND",34.72,0,2
"SHRDPTAX",10.2,0.0014,0
"%Collector",2.56,0.1095,0
"%GenusScraper",16.46,0,2
"gregTol_%Collector",2.56,0.1095,0
"gregTol_%GenusScraper",16.46,0,2
